,decades,languages,genres
1769862346,0.13372217773793116,0.410116318288409,2.5382154370704657
3396564604,1.1763254373209815,0.20898174665423647,3.207393498410341
4085060862,0.6875967375909238,0.20889975708752806,1.6860924038092984
629267481,0.3594451475127912,0.7924048022328816,2.9010449933404323
700212883,0.9502705392332347,0.0,2.578018514138107
709221533,0.7693632582487452,0.3888753135204319,2.6121649088797514
2219149304,0.5932597429424854,1.5642013336464402,3.0695794451260388
586548811,0.0,0.0,1.2130075659799042
685430191,0.42024284950239477,0.6621442244684625,2.9149306695427275
752249427,0.5623351446188083,0.25731864054383163,1.9046718259619873
1628071602,0.0,0.0,2.3535548040326653
1850860206,1.6341234860592924,0.0,2.8989394241763056
2030749462,0.0,0.0,1.3862943611198906
2442259284,0.990705673906198,0.6548254690219399,2.970899573604002
2863590044,0.7214636866925115,0.45056120886630463,2.8040083970262386
142857473,0.7276345263823876,0.3576271598532216,2.8605658301630825
768864135,0.6037479613474844,0.13269142083987176,2.81570510864973
1078994008,0.0,0.0,2.7808641457291845
1216932622,0.0,0.0,1.8891591637540215
1340544964,1.7541823508852146,0.5627298200345141,3.2970515131551608
1858269066,0.217518571336808,0.7707632680189821,2.6445854159247113
2140451508,0.0,0.0,1.5607104090414068
490080303,0.9040283821703881,0.07158483369291901,1.98483756737586
585112001,0.0,0.45056120886630463,1.9072839993213793
924024963,0.439669879401343,0.167944147734173,2.6343219492177607
1260622944,0.0,0.0,2.3701349548823627
2021893362,0.8675632284814613,0.1732052067491771,2.5787281438694123
2058763786,0.18811292741457375,0.769653081492151,2.5473903646805427
4370234962,0.0,0.0,1.791759469228055
570706541,0.0,0.8660598702493092,2.701002962862789
1946097186,1.3296613488547582,0.8675632284814613,2.260203622997563
2588923962,0.0,0.0,0.6931471805599453
2856280024,0.30463609734923813,0.3250829733914482,2.0346160141680394
1388243804,0.0,0.098039113279732,1.468113974927073
1544350422,0.0,0.6365141682948128,2.0431918705451206
1703278206,0.6837389058487535,0.8018185525433373,2.197370062681308
2236392244,0.0,0.0,1.8477757523661449
3132660884,0.0,0.0,1.3296613488547582
4326404242,0.9434632692411776,0.7589367727620596,2.839884117489826
179441693,0.6931471805599453,0.0,2.0431918705451206
2119773302,0.5297061990576545,0.3250829733914482,2.4049050760927706
3820625522,0.6365141682948128,0.0,1.3208883431493221
3277145024,1.0397207708399179,0.0,2.6731669915179066
829098655,0.0,0.0,1.0986122886681096
1270657944,0.0,0.0,2.6658349903778817
458210621,0.24493002679463532,0.29113983883196504,2.8380759428588513
1106079922,0.0,0.0,1.3321790402101223
167271503,0.8979457248567798,0.6108643020548935,2.830491424326551
492413351,1.0992085716924556,0.5966927955987871,3.212326934897765
598691871,1.0416555959756086,0.0,2.198312030959105
762298077,0.43414349913083955,0.7811781679523389,3.2983249169939373
807615887,1.297582296452158,0.27721592998101174,2.4552784958180682
